signing_date,signer,citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,start_page,title,disposition_notes,executive_order_number
1/17/17,Obama,82 FR 8115,2017-01623,8129,https://www.federalregister.gov/documents/2017/01/23/2017-01623/amending-the-civil-service-rules-executive-order-13488-and-executive-order-13467-to-modernize-the,https://www.govinfo.gov/content/pkg/FR-2017-01-23/pdf/2017-01623.pdf,Presidential Document,Executive Order,1/23/17,8115,"Amending the Civil Service Rules, Executive Order 13488, and Executive Order 13467 To Modernize the Executive Branch-Wide Governance Structure and Processes for Security Clearances, Suitability and Fitness for Employment, and Credentialing, and Related Matters","Amends: EO 13467, June 30, 2008; EO 13488, January 16, 2009",13764
1/13/17,Obama,82 FR 7619,2017-01487,7620,https://www.federalregister.gov/documents/2017/01/19/2017-01487/providing-an-order-of-succession-within-the-department-of-justice,https://www.govinfo.gov/content/pkg/FR-2017-01-19/pdf/2017-01487.pdf,Presidential Document,Executive Order,1/19/17,7619,Providing an Order of Succession Within the Department of Justice,"Revokes: EO 13557, November 4, 2010
Revoked by: EO 13775, February 9, 2017",13762
1/13/17,Obama,82 FR 7621,2017-01489,7622,https://www.federalregister.gov/documents/2017/01/19/2017-01489/providing-an-order-of-succession-within-the-environmental-protection-agency,https://www.govinfo.gov/content/pkg/FR-2017-01-19/pdf/2017-01489.pdf,Presidential Document,Executive Order,1/19/17,7621,Providing an Order of Succession Within the Environmental Protection Agency,"Revokes: EO 13737, August 12, 2016",13763
1/13/17,Obama,82 FR 5331,2017-01197,5333,https://www.federalregister.gov/documents/2017/01/18/2017-01197/recognizing-positive-actions-by-the-government-of-sudan-and-providing-for-the-revocation-of-certain,https://www.govinfo.gov/content/pkg/FR-2017-01-18/pdf/2017-01197.pdf,Presidential Document,Executive Order,1/18/17,5331,Recognizing Positive Actions by the Government of Sudan and Providing for the Revocation of Certain Sudan-Related Sanctions,"Revokes in part: EO 13067, November 3, 1997
Revokes: EO 13412, October 13, 2006
Amended by: EO 13804, July 11, 2017",13761
1/12/17,Obama,82 FR 5321,2017-01164,5322,https://www.federalregister.gov/documents/2017/01/17/2017-01164/amending-executive-order-11016-to-update-eligibility-criteria-for-award-of-the-purple-heart,https://www.govinfo.gov/content/pkg/FR-2017-01-17/pdf/2017-01164.pdf,Presidential Document,Executive Order,1/17/17,5321,Amending Executive Order 11016 To Update Eligibility Criteria for Award of the Purple Heart,"Amends: EO 11016, April 25, 1962",13758
1/12/17,Obama,82 FR 5323,2017-01168,5324,https://www.federalregister.gov/documents/2017/01/17/2017-01168/designating-the-world-organisation-for-animal-health-as-a-public-international-organization-entitled,https://www.govinfo.gov/content/pkg/FR-2017-01-17/pdf/2017-01168.pdf,Presidential Document,Executive Order,1/17/17,5323,"Designating the World Organisation for Animal Health as a Public International Organization Entitled To Enjoy Certain Privileges, Exemptions, and Immunities",,13759
1/12/17,Obama,82 FR 5325,2017-01169,5329,https://www.federalregister.gov/documents/2017/01/17/2017-01169/exclusions-from-the-federal-labor-management-relations-program,https://www.govinfo.gov/content/pkg/FR-2017-01-17/pdf/2017-01169.pdf,Presidential Document,Executive Order,1/17/17,5325,Exclusions From the Federal Labor-Management Relations Program,"Amends: EO 12171, November 19, 1979",13760
12/28/16,Obama,82 FR 1,2016-31922,3,https://www.federalregister.gov/documents/2017/01/03/2016-31922/taking-additional-steps-to-address-the-national-emergency-with-respect-to-significant-malicious,https://www.govinfo.gov/content/pkg/FR-2017-01-03/pdf/2016-31922.pdf,Presidential Document,Executive Order,1/3/17,1,Taking Additional Steps to Address the National Emergency With Respect to Significant Malicious Cyber- Enabled Activities,"Amends: EO 13694, April 1, 2015",13757
12/23/16,Obama,81 FR 96329,2016-31792,96330,https://www.federalregister.gov/documents/2016/12/30/2016-31792/providing-an-order-of-succession-within-the-department-of-labor,https://www.govinfo.gov/content/pkg/FR-2016-12-30/pdf/2016-31792.pdf,Presidential Document,Executive Order,12/30/16,96329,Providing an Order of Succession Within the Department of Labor,,13755
12/27/16,Obama,81 FR 97099,2016-31875,97110,https://www.federalregister.gov/documents/2016/12/30/2016-31875/adjustments-of-certain-rates-of-pay,https://www.govinfo.gov/content/pkg/FR-2016-12-30/pdf/2016-31875.pdf,Presidential Document,Executive Order,12/30/16,97099,Adjustments of Certain Rates of Pay,"Supersedes: EO 13715, December 18, 2015
Superseded by: EO 13819, December 22, 2017",13756
